q,rvnm,stcd,stnm,tm,wptn,z
2180,金沙江,60103400,向家坝,1743436800000,5,266.620
1970,金沙江,60103400,向家坝,1743440400000,4,266.340
1940,金沙江,60103400,向家坝,1743444000000,4,266.270
1920,金沙江,60103400,向家坝,1743447600000,4,266.230
1880,金沙江,60103400,向家坝,1743451200000,4,266.140
1840,金沙江,60103400,向家坝,1743454800000,4,266.080
1820,金沙江,60103400,向家坝,1743458400000,4,266.050
1810,金沙江,60103400,向家坝,1743462000000,4,266.040
1810,金沙江,60103400,向家坝,1743469200000,6,266.040
1810,金沙江,60103400,向家坝,1743472800000,6,266.040
1850,金沙江,60103400,向家坝,1743476400000,5,266.090
1850,金沙江,60103400,向家坝,1743480000000,5,266.100
1850,金沙江,60103400,向家坝,1743483600000,4,266.090
1850,金沙江,60103400,向家坝,1743487200000,5,266.100
1920,金沙江,60103400,向家坝,1743490800000,5,266.230
2020,金沙江,60103400,向家坝,1743494400000,5,266.420
2050,金沙江,60103400,向家坝,1743498000000,5,266.450
2050,金沙江,60103400,向家坝,1743501600000,6,266.450
2050,金沙江,60103400,向家坝,1743505200000,6,266.450
2030,金沙江,60103400,向家坝,1743508800000,4,266.430
2050,金沙江,60103400,向家坝,1743512400000,5,266.450
2100,金沙江,60103400,向家坝,1743516000000,5,266.520
2140,金沙江,60103400,向家坝,1743519600000,5,266.570
2150,金沙江,60103400,向家坝,1743523200000,5,266.590
2150,金沙江,60103400,向家坝,1743526800000,4,266.580
2150,金沙江,60103400,向家坝,1743530400000,6,266.580
2130,金沙江,60103400,向家坝,1743534000000,4,266.560
2080,金沙江,60103400,向家坝,1743537600000,4,266.500
2050,金沙江,60103400,向家坝,1743541200000,4,266.460
2050,金沙江,60103400,向家坝,1743544800000,4,266.450
2050,金沙江,60103400,向家坝,1743548400000,5,266.460
2330,金沙江,60103400,向家坝,1743555600000,5,266.790
2420,金沙江,60103400,向家坝,1743559200000,5,266.890
2450,金沙江,60103400,向家坝,1743562800000,5,266.920
2360,金沙江,60103400,向家坝,1743566400000,4,266.820
2360,金沙江,60103400,向家坝,1743570000000,6,266.820
2250,金沙江,60103400,向家坝,1743573600000,4,266.700
2110,金沙江,60103400,向家坝,1743577200000,4,266.540
2100,金沙江,60103400,向家坝,1743580800000,4,266.520
2100,金沙江,60103400,向家坝,1743584400000,6,266.520
1980,金沙江,60103400,向家坝,1743588000000,4,266.350
1940,金沙江,60103400,向家坝,1743591600000,4,266.270
2160,金沙江,60103400,向家坝,1743595200000,5,266.600
2310,金沙江,60103400,向家坝,1743598800000,5,266.770
2350,金沙江,60103400,向家坝,1743602400000,5,266.810
2380,金沙江,60103400,向家坝,1743606000000,5,266.850
2040,金沙江,60103400,向家坝,1743609600000,4,266.440
1950,金沙江,60103400,向家坝,1743613200000,4,266.300
2230,金沙江,60103400,向家坝,1743616800000,5,266.680
2290,金沙江,60103400,向家坝,1743620400000,5,266.750
2540,金沙江,60103400,向家坝,1743624000000,5,267.020
2540,金沙江,60103400,向家坝,1743627600000,6,267.020
2540,金沙江,60103400,向家坝,1743631200000,6,267.020
2410,金沙江,60103400,向家坝,1743634800000,4,266.880
1920,金沙江,60103400,向家坝,1743642000000,4,266.220
1910,金沙江,60103400,向家坝,1743645600000,4,266.200
1910,金沙江,60103400,向家坝,1743649200000,6,266.200
1910,金沙江,60103400,向家坝,1743652800000,6,266.200
1900,金沙江,60103400,向家坝,1743656400000,4,266.190
1910,金沙江,60103400,向家坝,1743660000000,5,266.200
1910,金沙江,60103400,向家坝,1743663600000,6,266.200
0,1910,金沙江,60103400,向家坝,1743904800000,6,266.21
0,1920,金沙江,60103400,向家坝,1743908400000,5,266.24
0,1920,金沙江,60103400,向家坝,1743912000000,4,266.23
0,1930,金沙江,60103400,向家坝,1743915600000,5,266.25
0,1950,金沙江,60103400,向家坝,1743919200000,5,266.29
0,1990,金沙江,60103400,向家坝,1743922800000,5,266.37
0,2100,金沙江,60103400,向家坝,1743926400000,5,266.53
0,2130,金沙江,60103400,向家坝,1743930000000,5,266.56
0,2130,金沙江,60103400,向家坝,1743933600000,6,266.56
0,2120,金沙江,60103400,向家坝,1743937200000,4,266.55
0,2130,金沙江,60103400,向家坝,1743940800000,5,266.56
0,2140,金沙江,60103400,向家坝,1743944400000,5,266.57
0,2130,金沙江,60103400,向家坝,1743948000000,4,266.56
0,2120,金沙江,60103400,向家坝,1743951600000,4,266.55
0,2110,金沙江,60103400,向家坝,1743955200000,4,266.54
0,1960,金沙江,60103400,向家坝,1743958800000,4,266.31
0,1930,金沙江,60103400,向家坝,1743962400000,4,266.25
0,1920,金沙江,60103400,向家坝,1743966000000,4,266.24
0,1920,金沙江,60103400,向家坝,1743969600000,4,266.23
0,1920,金沙江,60103400,向家坝,1743973200000,4,266.22
0,1910,金沙江,60103400,向家坝,1743976800000,4,266.21
0,1910,金沙江,60103400,向家坝,1743980400000,6,266.21
0,1910,金沙江,60103400,向家坝,1743984000000,4,266.2
0,1890,金沙江,60103400,向家坝,1743994800000,5,266.16
0,1960,金沙江,60103400,向家坝,1744005600000,5,266.31
0,2000,金沙江,60103400,向家坝,1744009200000,5,266.38
0,2110,金沙江,60103400,向家坝,1744012800000,5,266.54
0,2150,金沙江,60103400,向家坝,1744016400000,5,266.58
0,2100,金沙江,60103400,向家坝,1744027200000,4,266.52
0,2080,金沙江,60103400,向家坝,1744038000000,4,266.5
0,1930,金沙江,60103400,向家坝,1744048800000,4,266.25
0,1910,金沙江,60103400,向家坝,1744059600000,4,266.21
0,1900,金沙江,60103400,向家坝,1744066800000,6,266.18
0,1910,金沙江,60103400,向家坝,1744070400000,5,266.2
0,1920,金沙江,60103400,向家坝,1744077600000,6,266.24
0,1920,金沙江,60103400,向家坝,1744081200000,6,266.24
0,1930,金沙江,60103400,向家坝,1744092000000,5,266.26
0,1960,金沙江,60103400,向家坝,1744095600000,5,266.32
0,2070,金沙江,60103400,向家坝,1744099200000,5,266.49
0,2100,金沙江,60103400,向家坝,1744102800000,5,266.52
0,2110,金沙江,60103400,向家坝,1744106400000,5,266.54
0,2100,金沙江,60103400,向家坝,1744110000000,4,266.52
0,2120,金沙江,60103400,向家坝,1744113600000,5,266.55
0,2100,金沙江,60103400,向家坝,1744124400000,4,266.53
0,2000,金沙江,60103400,向家坝,1744131600000,4,266.39
0,1930,金沙江,60103400,向家坝,1744135200000,4,266.26
0,1900,金沙江,60103400,向家坝,1744142400000,4,266.18
0,1880,金沙江,60103400,向家坝,1744146000000,4,266.15
0,1870,金沙江,60103400,向家坝,1744149600000,4,266.13
0,1870,金沙江,60103400,向家坝,1744153200000,6,266.13
0,2720,金沙江,60103400,向家坝,1744160400000,5,267.21
0,2810,金沙江,60103400,向家坝,1744164000000,5,267.3
0,2850,金沙江,60103400,向家坝,1744167600000,5,267.34
0,2840,金沙江,60103400,向家坝,1744171200000,4,267.33
0,2840,金沙江,60103400,向家坝,1744174800000,6,267.33
