rvnm,stcd,stnm,tm,wptn,z
长江,60106000,万县,1743436800000,4,162.680
长江,60106000,万县,1743440400000,5,162.690
长江,60106000,万县,1743444000000,5,162.700
长江,60106000,万县,1743447600000,4,162.670
长江,60106000,万县,1743451200000,6,162.670
长江,60106000,万县,1743454800000,6,162.670
长江,60106000,万县,1743458400000,4,162.650
长江,60106000,万县,1743462000000,4,162.640
长江,60106000,万县,1743469200000,4,162.600
长江,60106000,万县,1743472800000,4,162.580
长江,60106000,万县,1743476400000,4,162.540
长江,60106000,万县,1743480000000,4,162.510
长江,60106000,万县,1743483600000,4,162.470
长江,60106000,万县,1743487200000,5,162.490
长江,60106000,万县,1743490800000,5,162.520
长江,60106000,万县,1743494400000,5,162.550
长江,60106000,万县,1743498000000,5,162.560
长江,60106000,万县,1743501600000,6,162.560
长江,60106000,万县,1743505200000,4,162.520
长江,60106000,万县,1743508800000,4,162.470
长江,60106000,万县,1743512400000,4,162.430
长江,60106000,万县,1743516000000,4,162.390
长江,60106000,万县,1743519600000,4,162.360
长江,60106000,万县,1743523200000,4,162.330
长江,60106000,万县,1743526800000,4,162.310
长江,60106000,万县,1743530400000,5,162.320
长江,60106000,万县,1743534000000,4,162.300
长江,60106000,万县,1743537600000,6,162.300
长江,60106000,万县,1743541200000,5,162.320
长江,60106000,万县,1743544800000,4,162.310
长江,60106000,万县,1743548400000,4,162.290
长江,60106000,万县,1743555600000,5,162.300
长江,60106000,万县,1743559200000,4,162.270
长江,60106000,万县,1743562800000,4,162.250
长江,60106000,万县,1743566400000,4,162.200
长江,60106000,万县,1743570000000,4,162.190
长江,60106000,万县,1743573600000,5,162.210
长江,60106000,万县,1743577200000,5,162.220
长江,60106000,万县,1743580800000,5,162.240
长江,60106000,万县,1743584400000,5,162.250
长江,60106000,万县,1743588000000,4,162.240
长江,60106000,万县,1743591600000,4,162.210
长江,60106000,万县,1743595200000,4,162.140
长江,60106000,万县,1743598800000,4,162.110
长江,60106000,万县,1743602400000,4,162.070
长江,60106000,万县,1743606000000,4,162.040
长江,60106000,万县,1743609600000,4,162.020
长江,60106000,万县,1743613200000,6,162.020
长江,60106000,万县,1743616800000,5,162.040
长江,60106000,万县,1743620400000,5,162.070
长江,60106000,万县,1743624000000,6,162.070
长江,60106000,万县,1743627600000,6,162.070
长江,60106000,万县,1743631200000,4,162.060
长江,60106000,万县,1743634800000,4,162.050
长江,60106000,万县,1743642000000,5,162.040
长江,60106000,万县,1743645600000,4,162.010
长江,60106000,万县,1743649200000,4,161.990
长江,60106000,万县,1743652800000,4,161.950
长江,60106000,万县,1743656400000,4,161.930
长江,60106000,万县,1743660000000,5,161.960
长江,60106000,万县,1743663600000,5,161.990
0,0,长江,60106000,万县,1743904800000,6,161.61
0,0,长江,60106000,万县,1743908400000,4,161.58
0,0,长江,60106000,万县,1743912000000,4,161.55
0,0,长江,60106000,万县,1743915600000,6,161.55
0,0,长江,60106000,万县,1743919200000,5,161.57
0,0,长江,60106000,万县,1743922800000,5,161.58
0,0,长江,60106000,万县,1743926400000,4,161.57
0,0,长江,60106000,万县,1743930000000,4,161.56
0,0,长江,60106000,万县,1743933600000,4,161.55
0,0,长江,60106000,万县,1743937200000,4,161.54
0,0,长江,60106000,万县,1743940800000,4,161.5
0,0,长江,60106000,万县,1743944400000,4,161.46
0,0,长江,60106000,万县,1743948000000,4,161.44
0,0,长江,60106000,万县,1743951600000,4,161.42
0,0,长江,60106000,万县,1743955200000,6,161.42
0,0,长江,60106000,万县,1743958800000,4,161.41
0,0,长江,60106000,万县,1743962400000,5,161.42
0,0,长江,60106000,万县,1743966000000,4,161.41
0,0,长江,60106000,万县,1743969600000,4,161.4
0,0,长江,60106000,万县,1743973200000,4,161.38
0,0,长江,60106000,万县,1743976800000,4,161.36
0,0,长江,60106000,万县,1743980400000,4,161.33
0,0,长江,60106000,万县,1743984000000,4,161.32
0,0,长江,60106000,万县,1743994800000,4,161.25
0,0,长江,60106000,万县,1744005600000,5,161.21
0,0,长江,60106000,万县,1744009200000,5,161.23
0,0,长江,60106000,万县,1744012800000,5,161.24
0,0,长江,60106000,万县,1744016400000,5,161.25
0,0,长江,60106000,万县,1744027200000,4,161.15
0,0,长江,60106000,万县,1744038000000,4,161.04
0,0,长江,60106000,万县,1744048800000,4,161.01
0,0,长江,60106000,万县,1744059600000,4,160.95
0,0,长江,60106000,万县,1744066800000,4,160.88
0,0,长江,60106000,万县,1744070400000,4,160.86
0,8390,长江,60106000,万县,1744075980000,4,160.83
0,0,长江,60106000,万县,1744092000000,6,160.76
0,0,长江,60106000,万县,1744095600000,5,160.79
0,0,长江,60106000,万县,1744099200000,5,160.8
0,0,长江,60106000,万县,1744102800000,6,160.8
0,0,长江,60106000,万县,1744106400000,4,160.79
0,0,长江,60106000,万县,1744110000000,4,160.72
0,0,长江,60106000,万县,1744113600000,4,160.66
0,0,长江,60106000,万县,1744124400000,4,160.56
0,0,长江,60106000,万县,1744128000000,4,160.54
0,0,长江,60106000,万县,1744135200000,4,160.51
0,0,长江,60106000,万县,1744142400000,4,160.47
0,0,长江,60106000,万县,1744146000000,4,160.44
0,0,长江,60106000,万县,1744149600000,4,160.41
0,0,长江,60106000,万县,1744153200000,4,160.37
0,0,长江,60106000,万县,1744160400000,4,160.33
0,0,长江,60106000,万县,1744164000000,4,160.31
0,0,长江,60106000,万县,1744167600000,4,160.25
