q,rvnm,stcd,stnm,tm,wptn,z
260,修河,62513000,虬津,1751267700000,4,16.930
221,修河,62513000,虬津,1751334900000,4,16.760
212,修河,62513000,虬津,1751339400000,4,16.720
210,修河,62513000,虬津,1751342400000,4,16.710
205,修河,62513000,虬津,1751343300000,4,16.690
199,修河,62513000,虬津,1751346600000,4,16.660
190,修河,62513000,虬津,1751350200000,4,16.620
186,修河,62513000,虬津,1751353200000,4,16.600
181,修河,62513000,虬津,1751354400000,4,16.580
177,修河,62513000,虬津,1751355900000,4,16.560
177,修河,62513000,虬津,1751356800000,4,16.560
173,修河,62513000,虬津,1751358300000,4,16.540
171,修河,62513000,虬津,1751360400000,4,16.530
167,修河,62513000,虬津,1751362200000,4,16.510
165,修河,62513000,虬津,1751364000000,4,16.500
163,修河,62513000,虬津,1751367600000,4,16.490
163,修河,62513000,虬津,1751371200000,6,16.490
163,修河,62513000,虬津,1751374800000,6,16.490
165,修河,62513000,虬津,1751378400000,5,16.500
167,修河,62513000,虬津,1751382000000,5,16.510
169,修河,62513000,虬津,1751385600000,5,16.520
171,修河,62513000,虬津,1751389200000,5,16.530
171,修河,62513000,虬津,1751392800000,6,16.530
171,修河,62513000,虬津,1751396400000,6,16.530
173,修河,62513000,虬津,1751400000000,5,16.540
173,修河,62513000,虬津,1751403600000,6,16.540
175,修河,62513000,虬津,1751407200000,5,16.550
175,修河,62513000,虬津,1751410800000,6,16.550
175,修河,62513000,虬津,1751418000000,6,16.550
175,修河,62513000,虬津,1751425200000,6,16.550
175,修河,62513000,虬津,1751428800000,6,16.550
173,修河,62513000,虬津,1751432400000,4,16.540
169,修河,62513000,虬津,1751434500000,4,16.520
169,修河,62513000,虬津,1751436000000,4,16.520
165,修河,62513000,虬津,1751437500000,4,16.500
163,修河,62513000,虬津,1751439600000,4,16.490
159,修河,62513000,虬津,1751441400000,4,16.470
157,修河,62513000,虬津,1751443200000,4,16.460
150,修河,62513000,虬津,1751448000000,4,16.430
150,修河,62513000,虬津,1751450400000,4,16.430
148,修河,62513000,虬津,1751454000000,4,16.420
146,修河,62513000,虬津,1751457600000,4,16.410
148,修河,62513000,虬津,1751461200000,5,16.420
150,修河,62513000,虬津,1751464800000,5,16.430
154,修河,62513000,虬津,1751466300000,5,16.450
154,修河,62513000,虬津,1751468400000,5,16.450
159,修河,62513000,虬津,1751470500000,5,16.470
167,修河,62513000,虬津,1751472900000,5,16.510
171,修河,62513000,虬津,1751474100000,5,16.530
173,修河,62513000,虬津,1751475600000,5,16.540
177,修河,62513000,虬津,1751477700000,5,16.560
179,修河,62513000,虬津,1751479200000,5,16.570
181,修河,62513000,虬津,1751482800000,5,16.580
181,修河,62513000,虬津,1751486400000,6,16.580
179,修河,62513000,虬津,1751490000000,4,16.570
179,修河,62513000,虬津,1751493600000,6,16.570
175,修河,62513000,虬津,1751496300000,4,16.550
175,修河,62513000,虬津,1751497200000,4,16.550
173,修河,62513000,虬津,1751504400000,4,16.540
171,修河,62513000,虬津,1751508000000,4,16.530
171,修河,62513000,虬津,1751511600000,6,16.530
171,修河,62513000,虬津,1751515200000,6,16.530
167,修河,62513000,虬津,1751518800000,4,16.510
163,修河,62513000,虬津,1751522400000,4,16.490
159,修河,62513000,虬津,1751523900000,4,16.470
154,修河,62513000,虬津,1751526000000,4,16.450
150,修河,62513000,虬津,1751528100000,4,16.430
148,修河,62513000,虬津,1751529600000,4,16.420
144,修河,62513000,虬津,1751533200000,4,16.400
140,修河,62513000,虬津,1751536800000,4,16.380
140,修河,62513000,虬津,1751540400000,6,16.380
140,修河,62513000,虬津,1751544000000,6,16.380
144,修河,62513000,虬津,1751547600000,5,16.400
148,修河,62513000,虬津,1751549400000,5,16.420
154,修河,62513000,虬津,1751551200000,5,16.450
159,修河,62513000,虬津,1751552400000,5,16.470
163,修河,62513000,虬津,1751553600000,5,16.490
165,修河,62513000,虬津,1751554800000,5,16.500
169,修河,62513000,虬津,1751557500000,5,16.520
169,修河,62513000,虬津,1751558400000,5,16.520
169,修河,62513000,虬津,1751562000000,6,16.520
167,修河,62513000,虬津,1751565600000,4,16.510
165,修河,62513000,虬津,1751569200000,4,16.500
165,修河,62513000,虬津,1751572800000,6,16.500
163,修河,62513000,虬津,1751576400000,4,16.490
161,修河,62513000,虬津,1751580000000,4,16.480
159,修河,62513000,虬津,1751583600000,4,16.470
157,修河,62513000,虬津,1751590800000,6,16.460
116,修河,62513000,虬津,1751594400000,4,16.450
116,修河,62513000,虬津,1751598000000,6,16.450
116,修河,62513000,虬津,1751601600000,6,16.450
114,修河,62513000,虬津,1751605200000,4,16.440
112,修河,62513000,虬津,1751608800000,4,16.420
109,修河,62513000,虬津,1751612400000,4,16.400
106,修河,62513000,虬津,1751614800000,4,16.380
106,修河,62513000,虬津,1751616000000,4,16.380
103,修河,62513000,虬津,1751618400000,4,16.360
103,修河,62513000,虬津,1751619600000,4,16.360
101,修河,62513000,虬津,1751623200000,4,16.340
101,修河,62513000,虬津,1751626800000,6,16.340
101,修河,62513000,虬津,1751630400000,6,16.340
101,修河,62513000,虬津,1751634000000,6,16.340
110,修河,62513000,虬津,1751635800000,5,16.410
116,修河,62513000,虬津,1751636400000,5,16.450
123,修河,62513000,虬津,1751637000000,5,16.500
149,修河,62513000,虬津,1751677200000,4,16.750
147,修河,62513000,虬津,1751682600000,4,16.670
141,修河,62513000,虬津,1751685300000,4,16.630
138,修河,62513000,虬津,1751686800000,4,16.610
134,修河,62513000,虬津,1751689500000,4,16.580
128,修河,62513000,虬津,1751692800000,4,16.540
124,修河,62513000,虬津,1751695200000,4,16.510
121,修河,62513000,虬津,1751696700000,4,16.490
118,修河,62513000,虬津,1751697600000,4,16.470
117,修河,62513000,虬津,1751698800000,4,16.460
114,修河,62513000,虬津,1751700000000,4,16.440
112,修河,62513000,虬津,1751701200000,4,16.420
110,修河,62513000,虬津,1751702400000,4,16.410
107,修河,62513000,虬津,1751703600000,4,16.390
105,修河,62513000,虬津,1751704500000,4,16.370
103,修河,62513000,虬津,1751706000000,4,16.360
101,修河,62513000,虬津,1751707500000,4,16.340
99.3,修河,62513000,虬津,1751709600000,4,16.330
96.6,修河,62513000,虬津,1751713200000,4,16.310
96.6,修河,62513000,虬津,1751716800000,6,16.310
103,修河,62513000,虬津,1751721600000,5,16.360
109,修河,62513000,虬津,1751722500000,5,16.400
112,修河,62513000,虬津,1751723100000,5,16.420
118,修河,62513000,虬津,1751724000000,5,16.470
127,修河,62513000,虬津,1751725200000,5,16.530
132,修河,62513000,虬津,1751726100000,5,16.570
139,修河,62513000,虬津,1751727600000,5,16.620
145,修河,62513000,虬津,1751728800000,5,16.660
148,修河,62513000,虬津,1751730000000,5,16.680
150,修河,62513000,虬津,1751731200000,5,16.690
153,修河,62513000,虬津,1751732400000,5,16.710
154,修河,62513000,虬津,1751734800000,5,16.720
151,修河,62513000,虬津,1751737500000,4,16.700
148,修河,62513000,虬津,1751740200000,4,16.680
145,修河,62513000,虬津,1751742000000,4,16.660
142,修河,62513000,虬津,1751743500000,4,16.640
139,修河,62513000,虬津,1751745600000,4,16.620
136,修河,62513000,虬津,1751747100000,4,16.600
134,修河,62513000,虬津,1751749200000,4,16.580
131,修河,62513000,虬津,1751751000000,4,16.560
128,修河,62513000,虬津,1751752800000,4,16.540
125,修河,62513000,虬津,1751756400000,4,16.520
123,修河,62513000,虬津,1751757600000,4,16.500
117,修河,62513000,虬津,1751763600000,4,16.460
112,修河,62513000,虬津,1751770800000,4,16.420
109,修河,62513000,虬津,1751774400000,4,16.400
106,修河,62513000,虬津,1751778000000,4,16.380
103,修河,62513000,虬津,1751781600000,4,16.360
101,修河,62513000,虬津,1751784000000,4,16.340
99.3,修河,62513000,虬津,1751785200000,4,16.330
96.6,修河,62513000,虬津,1751786400000,4,16.310
93.9,修河,62513000,虬津,1751788800000,4,16.290
91.2,修河,62513000,虬津,1751790300000,4,16.270
89.9,修河,62513000,虬津,1751792400000,4,16.260
