oq,q,rvnm,stcd,stnm,tm,wptn,z
0,5950,金沙江,60103400,向家坝,1753977600000,4,270.18
0,5490,金沙江,60103400,向家坝,1753981200000,4,269.78
0,4730,金沙江,60103400,向家坝,1753984800000,4,269.12
0,3920,金沙江,60103400,向家坝,1753988400000,4,268.4
0,3660,金沙江,60103400,向家坝,1753992000000,4,268.16
0,3560,金沙江,60103400,向家坝,1753995600000,4,268.07
0,3500,金沙江,60103400,向家坝,1753999200000,4,268.01
0,3490,金沙江,60103400,向家坝,1754002800000,4,268
0,3490,金沙江,60103400,向家坝,1754006400000,6,268
0,3490,金沙江,60103400,向家坝,1754017200000,6,268
0,3480,金沙江,60103400,向家坝,1754020800000,4,267.99
0,3480,金沙江,60103400,向家坝,1754024400000,6,267.99
0,3470,金沙江,60103400,向家坝,1754028000000,4,267.98
0,3480,金沙江,60103400,向家坝,1754031600000,5,267.99
0,3510,金沙江,60103400,向家坝,1754035200000,5,268.02
0,4050,金沙江,60103400,向家坝,1754038800000,5,268.52
0,4870,金沙江,60103400,向家坝,1754042400000,5,269.24
0,5130,金沙江,60103400,向家坝,1754046000000,5,269.46
0,5220,金沙江,60103400,向家坝,1754049600000,5,269.53
0,5250,金沙江,60103400,向家坝,1754053200000,5,269.54
0,5230,金沙江,60103400,向家坝,1754056800000,4,269.52
0,5280,金沙江,60103400,向家坝,1754060400000,5,269.56
0,5300,金沙江,60103400,向家坝,1754064000000,5,269.61
0,4810,金沙江,60103400,向家坝,1754067600000,4,269.19
0,4020,金沙江,60103400,向家坝,1754071200000,4,268.49
0,3210,金沙江,60103400,向家坝,1754074800000,4,267.73
0,2970,金沙江,60103400,向家坝,1754078400000,4,267.49
0,2890,金沙江,60103400,向家坝,1754082000000,4,267.43
0,2850,金沙江,60103400,向家坝,1754085600000,4,267.41
0,2850,金沙江,60103400,向家坝,1754089200000,4,267.38
0,2840,金沙江,60103400,向家坝,1754096400000,5,267.37
0,2810,金沙江,60103400,向家坝,1754103600000,4,267.34
0,2800,金沙江,60103400,向家坝,1754107200000,4,267.3
0,2680,金沙江,60103400,向家坝,1754110800000,4,267.17
0,2680,金沙江,60103400,向家坝,1754114400000,4,267.16
0,2700,金沙江,60103400,向家坝,1754118000000,5,267.19
0,2820,金沙江,60103400,向家坝,1754121600000,5,267.33
0,3550,金沙江,60103400,向家坝,1754125200000,5,268.04
0,4370,金沙江,60103400,向家坝,1754128800000,5,268.78
0,4720,金沙江,60103400,向家坝,1754132400000,5,269.07
0,4710,金沙江,60103400,向家坝,1754136000000,4,269.06
0,4730,金沙江,60103400,向家坝,1754139600000,5,269.08
0,4780,金沙江,60103400,向家坝,1754143200000,5,269.14
0,4820,金沙江,60103400,向家坝,1754146800000,5,269.19
0,4860,金沙江,60103400,向家坝,1754150400000,5,269.22
0,4380,金沙江,60103400,向家坝,1754154000000,4,268.81
0,3580,金沙江,60103400,向家坝,1754157600000,4,268.08
0,3020,金沙江,60103400,向家坝,1754161200000,4,267.54
0,2890,金沙江,60103400,向家坝,1754164800000,4,267.39
0,2820,金沙江,60103400,向家坝,1754168400000,4,267.31
0,2820,金沙江,60103400,向家坝,1754172000000,6,267.31
0,2760,金沙江,60103400,向家坝,1754175600000,4,267.25
0,2830,金沙江,60103400,向家坝,1754182800000,5,267.32
