oq,q,rvnm,stcd,stnm,tm,wptn,z
0,0,长江,60106000,万县,1753977600000,4,161.16
0,0,长江,60106000,万县,1753981200000,4,161.13
0,0,长江,60106000,万县,1753984800000,4,161.1
0,0,长江,60106000,万县,1753988400000,4,161.08
0,0,长江,60106000,万县,1753992000000,4,161.07
0,0,长江,60106000,万县,1753995600000,5,161.09
0,0,长江,60106000,万县,1753999200000,6,161.09
0,0,长江,60106000,万县,1754002800000,4,161.08
0,0,长江,60106000,万县,1754010000000,4,161.08
0,0,长江,60106000,万县,1754017200000,6,161.07
0,0,长江,60106000,万县,1754020800000,4,161.05
0,0,长江,60106000,万县,1754024400000,5,161.06
0,0,长江,60106000,万县,1754028000000,4,161.03
0,0,长江,60106000,万县,1754031600000,6,161.03
0,0,长江,60106000,万县,1754035200000,6,161.03
0,0,长江,60106000,万县,1754038800000,4,161.02
0,0,长江,60106000,万县,1754042400000,6,161.02
0,0,长江,60106000,万县,1754046000000,5,161.03
0,0,长江,60106000,万县,1754049600000,4,161
0,0,长江,60106000,万县,1754053200000,4,160.97
0,0,长江,60106000,万县,1754056800000,4,160.92
0,0,长江,60106000,万县,1754060400000,4,160.86
0,0,长江,60106000,万县,1754064000000,4,160.85
0,0,长江,60106000,万县,1754067600000,4,160.82
0,0,长江,60106000,万县,1754071200000,4,160.8
0,0,长江,60106000,万县,1754074800000,4,160.78
0,0,长江,60106000,万县,1754078400000,4,160.77
0,0,长江,60106000,万县,1754082000000,5,160.78
0,0,长江,60106000,万县,1754085600000,6,160.78
0,0,长江,60106000,万县,1754089200000,5,160.79
0,0,长江,60106000,万县,1754096400000,4,160.77
0,0,长江,60106000,万县,1754103600000,4,160.75
0,0,长江,60106000,万县,1754107200000,6,160.75
0,0,长江,60106000,万县,1754110800000,4,160.74
0,0,长江,60106000,万县,1754114400000,4,160.73
0,0,长江,60106000,万县,1754118000000,4,160.72
0,0,长江,60106000,万县,1754121600000,6,160.72
0,0,长江,60106000,万县,1754125200000,4,160.71
0,0,长江,60106000,万县,1754128800000,4,160.7
0,0,长江,60106000,万县,1754132400000,4,160.68
0,0,长江,60106000,万县,1754136000000,6,160.66
0,0,长江,60106000,万县,1754146800000,4,160.51
0,0,长江,60106000,万县,1754150400000,4,160.49
0,0,长江,60106000,万县,1754154000000,4,160.45
0,0,长江,60106000,万县,1754157600000,4,160.43
0,0,长江,60106000,万县,1754161200000,4,160.39
0,0,长江,60106000,万县,1754164800000,5,160.4
0,0,长江,60106000,万县,1754168400000,5,160.41
0,0,长江,60106000,万县,1754172000000,4,160.4
0,0,长江,60106000,万县,1754175600000,6,160.4
0,0,长江,60106000,万县,1754182800000,4,160.37
0,0,长江,60106000,万县,1754190000000,6,160.37
0,0,长江,60106000,万县,1754193600000,4,160.36
