oq,q,rvnm,stcd,stnm,tm,wptn,z
0,18500,长江干流,60107400,枝城,1753977600000,5,40.92
0,18400,长江干流,60107400,枝城,1753981200000,6,40.92
0,17800,长江干流,60107400,枝城,1753984800000,4,40.84
0,17200,长江干流,60107400,枝城,1753988400000,4,40.76
0,17000,长江干流,60107400,枝城,1753992000000,4,40.71
0,16800,长江干流,60107400,枝城,1753995600000,4,40.67
0,16600,长江干流,60107400,枝城,1753999200000,4,40.62
0,16600,长江干流,60107400,枝城,1754002800000,4,40.61
0,16400,长江干流,60107400,枝城,1754010000000,4,40.56
0,16500,长江干流,60107400,枝城,1754017200000,6,40.56
0,16500,长江干流,60107400,枝城,1754020800000,4,40.55
0,16400,长江干流,60107400,枝城,1754024400000,4,40.53
0,16200,长江干流,60107400,枝城,1754028000000,4,40.5
