oq,q,rvnm,stcd,stnm,tm,wptn,z
0,19100,长江干流,60111300,螺山,1756656000000,5,23.13
0,19200,长江干流,60111300,螺山,1756659600000,6,23.13
0,19200,长江干流,60111300,螺山,1756663200000,5,23.14
0,19200,长江干流,60111300,螺山,1756666800000,5,23.15
0,19300,长江干流,60111300,螺山,1756670400000,5,23.16
0,19200,长江干流,60111300,螺山,1756674000000,5,23.17
0,19200,长江干流,60111300,螺山,1756677600000,6,23.17
0,19200,长江干流,60111300,螺山,1756681200000,5,23.19
0,19300,长江干流,60111300,螺山,1756688400000,5,23.21
0,19300,长江干流,60111300,螺山,1756695600000,5,23.22
0,19400,长江干流,60111300,螺山,1756699200000,5,23.24
0,19300,长江干流,60111300,螺山,1756702800000,5,23.26
0,19600,长江干流,60111300,螺山,1756706400000,4,23.25
0,19600,长江干流,60111300,螺山,1756710000000,5,23.26
0,19600,长江干流,60111300,螺山,1756713600000,5,23.27
0,19600,长江干流,60111300,螺山,1756717200000,5,23.28
0,19700,长江干流,60111300,螺山,1756720800000,6,23.28
0,19600,长江干流,60111300,螺山,1756724400000,5,23.29
0,19600,长江干流,60111300,螺山,1756728000000,5,23.31
0,19600,长江干流,60111300,螺山,1756731600000,5,23.32
0,19600,长江干流,60111300,螺山,1756735200000,5,23.33
0,19500,长江干流,60111300,螺山,1756738800000,5,23.35
0,19700,长江干流,60111300,螺山,1756742400000,4,23.33
0,19800,长江干流,60111300,螺山,1756746000000,5,23.35
0,19700,长江干流,60111300,螺山,1756749600000,6,23.35
0,19800,长江干流,60111300,螺山,1756753200000,5,23.36
0,19800,长江干流,60111300,螺山,1756756800000,5,23.37
0,19800,长江干流,60111300,螺山,1756760400000,5,23.39
0,19900,长江干流,60111300,螺山,1756764000000,4,23.38
0,19900,长江干流,60111300,螺山,1756767600000,5,23.4
0,19900,长江干流,60111300,螺山,1756774800000,6,23.41
0,20000,长江干流,60111300,螺山,1756778400000,6,23.41
0,19800,长江干流,60111300,螺山,1756782000000,5,23.43
0,19800,长江干流,60111300,螺山,1756785600000,5,23.44
0,19700,长江干流,60111300,螺山,1756789200000,6,23.44
0,19900,长江干流,60111300,螺山,1756792800000,6,23.44
