q,rvnm,stcd,stnm,tm,wptn,z
581,乌江,60803000,武隆,1759248000000,4,171.610
400,乌江,60803000,武隆,1759251600000,4,171.210
858,乌江,60803000,武隆,1759255200000,5,172.460
1350,乌江,60803000,武隆,1759258800000,5,173.820
1890,乌江,60803000,武隆,1759262400000,5,174.590
2120,乌江,60803000,武隆,1759266000000,5,174.840
1670,乌江,60803000,武隆,1759269600000,4,174.650
1850,乌江,60803000,武隆,1759273200000,5,174.670
1700,乌江,60803000,武隆,1759280400000,5,175.070
1640,乌江,60803000,武隆,1759284000000,4,174.360
1200,乌江,60803000,武隆,1759287600000,4,173.730
810,乌江,60803000,武隆,1759294800000,4,172.770
