q,rvnm,stcd,stnm,tm,wptn,z
7650,长江干流,60107400,枝城,1767193200000,6,38.150
8570,长江干流,60107400,枝城,1767229200000,5,38.380
8650,长江干流,60107400,枝城,1767236400000,6,38.410
8450,长江干流,60107400,枝城,1767240000000,4,38.380
8390,长江干流,60107400,枝城,1767243600000,4,38.370
8280,长江干流,60107400,枝城,1767247200000,4,38.350
8230,长江干流,60107400,枝城,1767250800000,4,38.340
8140,长江干流,60107400,枝城,1767254400000,4,38.320
8110,长江干流,60107400,枝城,1767258000000,4,38.310
8200,长江干流,60107400,枝城,1767261600000,5,38.330
8250,长江干流,60107400,枝城,1767265200000,5,38.340
8300,长江干流,60107400,枝城,1767268800000,5,38.350
8260,长江干流,60107400,枝城,1767272400000,4,38.340
8300,长江干流,60107400,枝城,1767276000000,5,38.350
8290,长江干流,60107400,枝城,1767279600000,6,38.350
8320,长江干流,60107400,枝城,1767283200000,5,38.360
8290,长江干流,60107400,枝城,1767286800000,4,38.350
8280,长江干流,60107400,枝城,1767290400000,6,38.350
8190,长江干流,60107400,枝城,1767294000000,4,38.330
8130,长江干流,60107400,枝城,1767297600000,4,38.320
8080,长江干流,60107400,枝城,1767301200000,4,38.310
8050,长江干流,60107400,枝城,1767304800000,4,38.300
8010,长江干流,60107400,枝城,1767308400000,4,38.290
8020,长江干流,60107400,枝城,1767315600000,5,38.290
8000,长江干流,60107400,枝城,1767322800000,6,38.280
7910,长江干流,60107400,枝城,1767326400000,4,38.260
7910,长江干流,60107400,枝城,1767330000000,6,38.260
7920,长江干流,60107400,枝城,1767333600000,6,38.260
7850,长江干流,60107400,枝城,1767337200000,4,38.240
7860,长江干流,60107400,枝城,1767340800000,6,38.240
7860,长江干流,60107400,枝城,1767344400000,6,38.240
7950,长江干流,60107400,枝城,1767348000000,5,38.260
8050,长江干流,60107400,枝城,1767351600000,5,38.280
8080,长江干流,60107400,枝城,1767355200000,5,38.290
8090,长江干流,60107400,枝城,1767358800000,6,38.290
8170,长江干流,60107400,枝城,1767362400000,5,38.310
8160,长江干流,60107400,枝城,1767366000000,6,38.310
8100,长江干流,60107400,枝城,1767369600000,4,38.300
8100,长江干流,60107400,枝城,1767373200000,6,38.300
8110,长江干流,60107400,枝城,1767376800000,6,38.300
8140,长江干流,60107400,枝城,1767380400000,5,38.310
8090,长江干流,60107400,枝城,1767384000000,4,38.300
8080,长江干流,60107400,枝城,1767387600000,6,38.300
8000,长江干流,60107400,枝城,1767391200000,4,38.280
8000,长江干流,60107400,枝城,1767394800000,6,38.280
8100,长江干流,60107400,枝城,1767402000000,5,38.300
8230,长江干流,60107400,枝城,1767409200000,5,38.330
8130,长江干流,60107400,枝城,1767412800000,4,38.310
8080,长江干流,60107400,枝城,1767416400000,4,38.300
8000,长江干流,60107400,枝城,1767420000000,4,38.280
7990,长江干流,60107400,枝城,1767423600000,6,38.280
7950,长江干流,60107400,枝城,1767427200000,4,38.270
8010,长江干流,60107400,枝城,1767430800000,5,38.280
8110,长江干流,60107400,枝城,1767434400000,5,38.300
8160,长江干流,60107400,枝城,1767438000000,5,38.310
8240,长江干流,60107400,枝城,1767441600000,5,38.330
8230,长江干流,60107400,枝城,1767445200000,6,38.330
8320,长江干流,60107400,枝城,1767448800000,5,38.350
8320,长江干流,60107400,枝城,1767452400000,6,38.350
8340,长江干流,60107400,枝城,1767456000000,5,38.360
8290,长江干流,60107400,枝城,1767459600000,4,38.350
8290,长江干流,60107400,枝城,1767463200000,6,38.350
8270,长江干流,60107400,枝城,1767466800000,6,38.350
8180,长江干流,60107400,枝城,1767470400000,4,38.330
8130,长江干流,60107400,枝城,1767474000000,4,38.320
8070,长江干流,60107400,枝城,1767477600000,4,38.310
8000,长江干流,60107400,枝城,1767481200000,4,38.290
8060,长江干流,60107400,枝城,1767488400000,5,38.300
8160,长江干流,60107400,枝城,1767495600000,6,38.320
8200,长江干流,60107400,枝城,1767499200000,5,38.330
8190,长江干流,60107400,枝城,1767502800000,6,38.330
8140,长江干流,60107400,枝城,1767506400000,4,38.320
8100,长江干流,60107400,枝城,1767510000000,4,38.310
8130,长江干流,60107400,枝城,1767513600000,5,38.320
8100,长江干流,60107400,枝城,1767517200000,4,38.310
8260,长江干流,60107400,枝城,1767520800000,5,38.340
8250,长江干流,60107400,枝城,1767524400000,6,38.340
