q,rvnm,stcd,stnm,tm,wptn,z
1390,汉江,61804110,皇庄,1772294400000,5,40.650
1400,汉江,61804110,皇庄,1772298000000,5,40.670
1420,汉江,61804110,皇庄,1772301600000,5,40.690
1420,汉江,61804110,皇庄,1772305200000,5,40.700
1430,汉江,61804110,皇庄,1772308800000,5,40.710
1440,汉江,61804110,皇庄,1772312400000,5,40.720
1440,汉江,61804110,皇庄,1772316000000,6,40.720
1440,汉江,61804110,皇庄,1772319600000,6,40.720
1440,汉江,61804110,皇庄,1772330400000,4,40.720
1530,汉江,61804110,皇庄,1772337600000,5,40.860
1580,汉江,61804110,皇庄,1772341200000,5,40.930
1630,汉江,61804110,皇庄,1772344800000,5,41.010
1630,汉江,61804110,皇庄,1772348400000,6,41.010
1650,汉江,61804110,皇庄,1772352000000,5,41.040
1660,汉江,61804110,皇庄,1772355600000,5,41.050
1660,汉江,61804110,皇庄,1772359200000,5,41.060
1630,汉江,61804110,皇庄,1772362800000,4,41.010
1600,汉江,61804110,皇庄,1772366400000,4,40.970
1580,汉江,61804110,皇庄,1772370000000,4,40.940
1570,汉江,61804110,皇庄,1772373600000,4,40.920
1540,汉江,61804110,皇庄,1772377200000,4,40.870
1500,汉江,61804110,皇庄,1772380800000,4,40.820
1480,汉江,61804110,皇庄,1772384400000,4,40.790
1470,汉江,61804110,皇庄,1772388000000,4,40.770
1450,汉江,61804110,皇庄,1772391600000,4,40.740
1440,汉江,61804110,皇庄,1772395200000,4,40.720
1430,汉江,61804110,皇庄,1772398800000,4,40.710
1420,汉江,61804110,皇庄,1772402400000,4,40.690
1410,汉江,61804110,皇庄,1772406000000,4,40.680
1400,汉江,61804110,皇庄,1772413200000,4,40.660
1400,汉江,61804110,皇庄,1772424000000,6,40.660
1390,汉江,61804110,皇庄,1772427600000,4,40.650
1400,汉江,61804110,皇庄,1772431200000,5,40.660
1380,汉江,61804110,皇庄,1772434800000,4,40.630
1370,汉江,61804110,皇庄,1772438400000,4,40.620
1340,汉江,61804110,皇庄,1772442000000,4,40.580
1300,汉江,61804110,皇庄,1772445600000,4,40.520
1280,汉江,61804110,皇庄,1772449200000,4,40.490
1280,汉江,61804110,皇庄,1772452800000,4,40.480
1270,汉江,61804110,皇庄,1772456400000,4,40.470
1270,汉江,61804110,皇庄,1772460000000,6,40.470
1280,汉江,61804110,皇庄,1772463600000,5,40.480
1290,汉江,61804110,皇庄,1772467200000,5,40.500
1300,汉江,61804110,皇庄,1772470800000,5,40.520
1310,汉江,61804110,皇庄,1772474400000,5,40.530
1320,汉江,61804110,皇庄,1772478000000,5,40.540
1320,汉江,61804110,皇庄,1772481600000,6,40.540
1340,汉江,61804110,皇庄,1772485200000,5,40.570
1350,汉江,61804110,皇庄,1772488800000,5,40.590
1360,汉江,61804110,皇庄,1772492400000,5,40.610
1380,汉江,61804110,皇庄,1772499600000,5,40.630
