kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,万子湖,310,1,61508400,沅江（二）,0,1786201200000,5,6,30.02
1,0,0,万子湖,310,1,61508400,沅江（二）,0,1786204800000,5,4,30.01
1,0,0,万子湖,310,1,61508400,沅江（二）,0,1786208400000,5,6,30.01
1,0,0,万子湖,310,1,61508400,沅江（二）,0,1786212000000,5,4,30
1,0,0,万子湖,310,1,61508400,沅江（二）,0,1786215600000,5,4,29.99
1,0,0,万子湖,310,1,61508400,沅江（二）,0,1786219200000,5,6,29.99
1,0,0,万子湖,310,1,61508400,沅江（二）,0,1786222800000,5,6,29.99
1,0,0,万子湖,310,1,61508400,沅江（二）,0,1786226400000,5,4,29.98
1,0,0,万子湖,310,1,61508400,沅江（二）,0,1786230000000,5,6,29.98
1,0,0,万子湖,310,1,61508400,沅江（二）,0,1786240800000,5,6,29.96
1,0,0,万子湖,310,1,61508400,沅江（二）,0,1786244400000,5,4,29.95
1,0,0,万子湖,310,1,61508400,沅江（二）,0,1786251600000,5,6,29.95
