oq,q,stcd,stnm,tm,wptn,z,rvnm
0,2600,60603300,高场,1786197600000,4,276.59,岷江
0,2420,60603300,高场,1786201200000,4,276.45,岷江
0,2300,60603300,高场,1786204800000,4,276.35,岷江
0,2420,60603300,高场,1786208400000,5,276.45,岷江
0,2730,60603300,高场,1786212000000,5,276.69,岷江
0,2950,60603300,高场,1786215600000,5,276.85,岷江
0,3000,60603300,高场,1786219200000,5,276.89,岷江
0,3030,60603300,高场,1786222800000,5,276.91,岷江
0,3030,60603300,高场,1786226400000,6,276.91,岷江
0,3010,60603300,高场,1786230000000,4,276.9,岷江
0,3010,60603300,高场,1786237200000,5,276.9,岷江
