kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,松滋河(西支),70,1,61502300,三岔河,1,1786201200000,5,4,30.23
1,0,0,松滋河(西支),70,1,61502300,三岔河,1,1786204800000,5,4,30.22
1,0,0,松滋河(西支),70,1,61502300,三岔河,1,1786208400000,5,4,30.21
1,0,0,松滋河(西支),70,1,61502300,三岔河,1,1786212000000,5,4,30.2
1,0,0,松滋河(西支),70,1,61502300,三岔河,1,1786215600000,5,4,30.19
1,0,0,松滋河(西支),70,1,61502300,三岔河,1,1786219200000,5,4,30.18
1,0,0,松滋河(西支),70,1,61502300,三岔河,1,1786222800000,5,4,30.17
1,0,0,松滋河(西支),70,1,61502300,三岔河,1,1786226400000,5,4,30.16
1,0,0,松滋河(西支),70,1,61502300,三岔河,1,1786230000000,5,4,30.15
1,0,0,松滋河(西支),70,1,61502300,三岔河,1,1786240800000,5,4,30.12
1,0,0,松滋河(西支),70,1,61502300,三岔河,1,1786244400000,5,4,30.11
1,0,0,松滋河(西支),70,1,61502300,三岔河,1,1786251600000,5,4,30.09
1,0,0,松滋河(西支),70,1,61502300,三岔河,1,1786255200000,5,4,30.07
1,0,0,松滋河(西支),70,1,61502300,三岔河,1,1786258800000,5,4,30.06
