kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,1470,松虎合流,210,1,61505900,安乡,0,1786201200000,5,4,32.01
1,0,1450,松虎合流,210,1,61505900,安乡,0,1786204800000,5,4,31.99
1,0,1440,松虎合流,210,1,61505900,安乡,0,1786208400000,5,4,31.97
1,0,1420,松虎合流,210,1,61505900,安乡,0,1786212000000,5,4,31.95
1,0,1400,松虎合流,210,1,61505900,安乡,0,1786215600000,5,4,31.92
1,0,1390,松虎合流,210,1,61505900,安乡,0,1786219200000,5,4,31.9
1,0,1370,松虎合流,210,1,61505900,安乡,0,1786222800000,5,4,31.87
1,0,1360,松虎合流,210,1,61505900,安乡,0,1786226400000,5,4,31.85
1,0,1340,松虎合流,210,1,61505900,安乡,0,1786230000000,5,4,31.83
1,0,1300,松虎合流,210,1,61505900,安乡,0,1786240800000,5,4,31.76
1,0,1290,松虎合流,210,1,61505900,安乡,0,1786244400000,5,4,31.74
1,0,1280,松虎合流,210,1,61505900,安乡,0,1786251600000,5,4,31.7
