kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1786201200000,5,4,31.6
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1786204800000,5,4,31.59
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1786208400000,5,4,31.57
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1786212000000,5,4,31.55
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1786215600000,5,4,31.54
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1786219200000,5,4,31.51
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1786222800000,5,4,31.5
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1786226400000,5,4,31.48
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1786230000000,5,4,31.47
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1786240800000,5,4,31.42
1,0,0,松虎合流,220,1,61505901,白蚌口,0,1786244400000,5,4,31.4
