q,tm,wptn,z,stcd,stnm,www,rvnm
65.1,1786201200000,6,74.39,62011800,新店铺(三),2,汉江
65.1,1786204800000,6,74.39,62011800,新店铺(三),2,汉江
65.1,1786208400000,6,74.39,62011800,新店铺(三),2,汉江
63.3,1786212000000,4,74.38,62011800,新店铺(三),2,汉江
61.6,1786215600000,4,74.37,62011800,新店铺(三),2,汉江
61.6,1786219200000,6,74.37,62011800,新店铺(三),2,汉江
59.9,1786222800000,4,74.36,62011800,新店铺(三),2,汉江
58.3,1786226400000,4,74.35,62011800,新店铺(三),2,汉江
102.0,1786230000000,5,74.56,62011800,新店铺(三),2,汉江
56.8,1786240800000,4,74.34,62011800,新店铺(三),2,汉江
56.8,1786244400000,6,74.34,62011800,新店铺(三),2,汉江
56.8,1786251600000,6,74.34,62011800,新店铺(三),2,汉江
