kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,汉江,640,1,61804710,汉川,0,1786201200000,5,5,21.74
1,0,0,汉江,640,1,61804710,汉川,0,1786204800000,5,5,21.75
1,0,0,汉江,640,1,61804710,汉川,0,1786208400000,5,5,21.76
1,0,0,汉江,640,1,61804710,汉川,0,1786212000000,5,5,21.77
1,0,0,汉江,640,1,61804710,汉川,0,1786215600000,5,5,21.78
1,0,0,汉江,640,1,61804710,汉川,0,1786219200000,5,5,21.79
1,0,0,汉江,640,1,61804710,汉川,0,1786222800000,5,5,21.8
1,0,0,汉江,640,1,61804710,汉川,0,1786226400000,5,5,21.81
1,0,0,汉江,640,1,61804710,汉川,0,1786230000000,5,6,21.81
1,0,0,汉江,640,1,61804710,汉川,0,1786240800000,5,6,21.81
1,0,0,汉江,640,1,61804710,汉川,0,1786244400000,5,6,21.81
1,0,0,汉江,640,1,61804710,汉川,0,1786251600000,5,6,21.81
1,0,0,汉江,640,1,61804710,汉川,0,1786255200000,5,6,21.81
