q,tm,wptn,z,stcd,stnm,www,rvnm
1810.0,1786201200000,5,179.7,61801700,白河,2,汉江
1470.0,1786204800000,4,179.47,61801700,白河,2,汉江
1430.0,1786208400000,5,179.51,61801700,白河,2,汉江
1430.0,1786212000000,5,179.53,61801700,白河,2,汉江
1440.0,1786215600000,5,179.57,61801700,白河,2,汉江
1440.0,1786219200000,5,179.62,61801700,白河,2,汉江
1430.0,1786222800000,5,179.66,61801700,白河,2,汉江
1430.0,1786226400000,4,179.64,61801700,白河,2,汉江
1430.0,1786230000000,4,179.55,61801700,白河,2,汉江
1090.0,1786240800000,4,179.41,61801700,白河,2,汉江
1070.0,1786244400000,4,179.3,61801700,白河,2,汉江
1040.0,1786251600000,4,179.07,61801700,白河,2,汉江
,1786255200000,4,178.94,61801700,白河,2,汉江
