q,tm,wptn,z,stcd,stnm,www,rvnm
481.0,1786201200000,4,167.32,62001750,磨峪湾,1,汉江
465.0,1786204800000,4,167.28,62001750,磨峪湾,1,汉江
440.0,1786208400000,4,167.22,62001750,磨峪湾,1,汉江
429.0,1786212000000,4,167.19,62001750,磨峪湾,1,汉江
410.0,1786215600000,4,167.14,62001750,磨峪湾,1,汉江
376.0,1786219200000,4,167.04,62001750,磨峪湾,1,汉江
337.0,1786222800000,4,166.91,62001750,磨峪湾,1,汉江
311.0,1786226400000,4,166.76,62001750,磨峪湾,1,汉江
290.0,1786230000000,4,166.68,62001750,磨峪湾,1,汉江
266.0,1786240800000,4,166.58,62001750,磨峪湾,1,汉江
266.0,1786244400000,6,166.58,62001750,磨峪湾,1,汉江
