oq,q,stcd,stnm,tm,wptn,z,rvnm
0,754,60613950,富顺,1786197600000,5,263.5,沱江
0,754,60613950,富顺,1786201200000,6,263.5,沱江
0,745,60613950,富顺,1786204800000,4,263.48,沱江
0,732,60613950,富顺,1786208400000,4,263.45,沱江
0,718,60613950,富顺,1786212000000,4,263.42,沱江
0,713,60613950,富顺,1786215600000,4,263.41,沱江
0,700,60613950,富顺,1786219200000,4,263.38,沱江
0,691,60613950,富顺,1786222800000,4,263.36,沱江
0,654,60613950,富顺,1786226400000,4,263.28,沱江
0,586,60613950,富顺,1786230000000,4,263.13,沱江
0,490,60613950,富顺,1786237200000,4,262.88,沱江
0,430,60613950,富顺,1786244400000,4,262.72,沱江
0,415,60613950,富顺,1786248000000,4,262.68,沱江
0,405,60613950,富顺,1786251600000,4,262.65,沱江
