kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1786201200000,5,4,27.05
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1786204800000,5,4,27.04
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1786208400000,5,5,27.05
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1786212000000,5,4,27.04
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1786215600000,5,5,27.05
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1786219200000,5,4,27.03
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1786222800000,5,5,27.04
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1786226400000,5,4,27.03
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1786230000000,5,6,27.03
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1786240800000,5,6,27.01
1,0,0,洞庭湖湖口,400,1,61511900,岳阳,0,1786244400000,5,6,27.01
