kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,澧水,120,1,61503801,蒿子港,0,1786201200000,5,4,32.32
1,0,0,澧水,120,1,61503801,蒿子港,0,1786204800000,5,4,32.3
1,0,0,澧水,120,1,61503801,蒿子港,0,1786208400000,5,4,32.27
1,0,0,澧水,120,1,61503801,蒿子港,0,1786212000000,5,4,32.23
1,0,0,澧水,120,1,61503801,蒿子港,0,1786215600000,5,4,32.22
1,0,0,澧水,120,1,61503801,蒿子港,0,1786219200000,5,4,32.18
1,0,0,澧水,120,1,61503801,蒿子港,0,1786222800000,5,4,32.16
1,0,0,澧水,120,1,61503801,蒿子港,0,1786226400000,5,4,32.13
1,0,0,澧水,120,1,61503801,蒿子港,0,1786230000000,5,5,32.14
1,0,0,澧水,120,1,61503801,蒿子港,0,1786240800000,5,4,32.05
1,0,0,澧水,120,1,61503801,蒿子港,0,1786244400000,5,4,32.02
