kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,目平湖,260,1,61507700,沙湾,0,1786201200000,5,4,30.11
1,0,0,目平湖,260,1,61507700,沙湾,0,1786204800000,5,6,30.11
1,0,0,目平湖,260,1,61507700,沙湾,0,1786208400000,5,4,30.1
1,0,0,目平湖,260,1,61507700,沙湾,0,1786212000000,5,4,30.09
1,0,0,目平湖,260,1,61507700,沙湾,0,1786215600000,5,6,30.09
1,0,0,目平湖,260,1,61507700,沙湾,0,1786219200000,5,4,30.08
1,0,0,目平湖,260,1,61507700,沙湾,0,1786222800000,5,6,30.08
1,0,0,目平湖,260,1,61507700,沙湾,0,1786226400000,5,4,30.07
1,0,0,目平湖,260,1,61507700,沙湾,0,1786230000000,5,6,30.07
1,0,0,目平湖,260,1,61507700,沙湾,0,1786240800000,5,4,30.05
1,0,0,目平湖,260,1,61507700,沙湾,0,1786244400000,5,6,30.05
1,0,0,目平湖,260,1,61507700,沙湾,0,1786251600000,5,4,30.04
1,0,0,目平湖,260,1,61507700,沙湾,0,1786255200000,5,4,30.03
