kind,rvnm,showdp,sort,sortall,sortw1,sortw2,sortw3,sortwdp,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,荆江,0,24,0,0,0,0,0,1,60107402,董5,0,1786201200000,6,5,37.090
1,荆江,0,24,0,0,0,0,0,1,60107402,董5,0,1786204800000,6,5,37.190
1,荆江,0,24,0,0,0,0,0,1,60107402,董5,0,1786208400000,6,5,37.220
1,荆江,0,24,0,0,0,0,0,1,60107402,董5,0,1786212000000,6,4,37.210
1,荆江,0,24,0,0,0,0,0,1,60107402,董5,0,1786215600000,6,4,37.180
1,荆江,0,24,0,0,0,0,0,1,60107402,董5,0,1786219200000,6,4,37.150
1,荆江,0,24,0,0,0,0,0,1,60107402,董5,0,1786222800000,6,4,37.110
1,荆江,0,24,0,0,0,0,0,1,60107402,董5,0,1786226400000,6,4,37.070
1,荆江,0,24,0,0,0,0,0,1,60107402,董5,0,1786230000000,6,4,37.030
1,荆江,0,24,0,0,0,0,0,1,60107402,董5,0,1786240800000,6,4,36.940
1,荆江,0,24,0,0,0,0,0,1,60107402,董5,0,1786244400000,6,4,36.890
