kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,283,藕池河(北支),90,1,61503010,南县(罗文窖),1,1786201200000,5,4,29.4
1,0,279,藕池河(北支),90,1,61503010,南县(罗文窖),1,1786204800000,5,4,29.39
1,0,276,藕池河(北支),90,1,61503010,南县(罗文窖),1,1786208400000,5,4,29.38
1,0,273,藕池河(北支),90,1,61503010,南县(罗文窖),1,1786212000000,5,4,29.37
1,0,270,藕池河(北支),90,1,61503010,南县(罗文窖),1,1786215600000,5,4,29.35
1,0,267,藕池河(北支),90,1,61503010,南县(罗文窖),1,1786219200000,5,4,29.34
1,0,264,藕池河(北支),90,1,61503010,南县(罗文窖),1,1786222800000,5,4,29.32
1,0,261,藕池河(北支),90,1,61503010,南县(罗文窖),1,1786226400000,5,4,29.3
1,0,258,藕池河(北支),90,1,61503010,南县(罗文窖),1,1786230000000,5,4,29.29
1,0,250,藕池河(北支),90,1,61503010,南县(罗文窖),1,1786240800000,5,4,29.24
