kind,q,rvnm,showdp,sort,sortall,sortw1,sortw2,sortw3,sortwdp,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,5.070,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786201200000,6,4,35.130
1,13.800,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786204800000,6,4,35.090
1,18.100,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786208400000,6,4,35.070
1,20.300,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786212000000,6,4,35.060
1,22.500,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786215600000,6,4,35.050
1,24.600,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786219200000,6,4,35.040
1,26.800,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786222800000,6,4,35.030
1,31.200,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786226400000,6,4,35.010
1,35.500,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786230000000,6,4,34.990
1,48.600,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786240800000,6,4,34.930
