kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,3220,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1786201200000,5,4,30.34
1,0,3210,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1786204800000,5,4,30.33
1,0,3200,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1786208400000,5,4,30.32
1,0,3190,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1786212000000,5,4,30.31
1,0,3180,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1786215600000,5,4,30.3
1,0,3170,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1786219200000,5,4,30.29
1,0,3160,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1786222800000,5,4,30.28
1,0,3150,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1786226400000,5,4,30.27
1,0,3140,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1786230000000,5,4,30.26
1,0,3110,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1786240800000,5,4,30.23
1,0,3100,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1786244400000,5,4,30.22
1,0,3080,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1786251600000,5,4,30.2
1,0,3070,西洞庭湖湖口(北端),250,1,61507600,南咀,0,1786255200000,5,4,30.19
