kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,2930,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1786201200000,5,6,30.12
1,0,2950,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1786204800000,5,4,30.11
1,0,2960,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1786208400000,5,6,30.11
1,0,2960,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1786212000000,5,4,30.1
1,0,2940,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1786215600000,5,6,30.1
1,0,2940,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1786219200000,5,6,30.1
1,0,2940,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1786222800000,5,4,30.09
1,0,2940,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1786226400000,5,4,30.08
1,0,2940,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1786230000000,5,4,30.07
1,0,2980,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1786240800000,5,6,30.06
1,0,2990,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1786244400000,5,6,30.06
1,0,2970,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1786251600000,5,6,30.05
1,0,2940,西洞庭湖湖口(南端),270,1,61507800,小河咀,0,1786255200000,5,4,30.04
