kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,长江,10,1,60111200,莲花塘,1,1786255200000,5,4,26.93
1,0,0,长江,10,1,60111200,莲花塘,1,1786262400000,5,6,26.92
1,0,0,长江,10,1,60111200,莲花塘,1,1786302000000,5,6,26.89
1,0,0,长江,10,1,60111200,莲花塘,1,1786392000000,5,4,26.77
1,0,0,长江,10,1,60111200,莲花塘,1,1786417200000,5,4,26.72
1,0,0,长江,10,1,60111200,莲花塘,1,1786510800000,5,5,26.55
1,0,0,长江,10,1,60111200,莲花塘,1,1786683600000,5,6,26.34
1,0,0,长江,10,1,60111200,莲花塘,1,1786762800000,5,5,26.38
1,0,0,长江,10,1,60111200,莲花塘,1,1786784400000,5,5,26.38
1,0,0,长江,10,1,60111200,莲花塘,1,1786939200000,5,6,26.24
1,0,0,长江,10,1,60111200,莲花塘,1,1786978800000,5,4,26.16
1,0,0,长江,10,1,60111200,莲花塘,1,1787000400000,5,6,26.11
1,0,0,长江,10,1,60111200,莲花塘,1,1787036400000,5,4,26.04
1,0,0,长江,10,1,60111200,莲花塘,1,1787457600000,5,5,25.87
1,0,0,长江,10,1,60111200,莲花塘,1,1787511600000,5,4,25.89
1,0,0,长江,10,1,60111200,莲花塘,1,1787580000000,5,6,26
