kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,26900,长江,20,1,60111300,螺山,1,1786201200000,5,6,25.92
1,0,26700,长江,20,1,60111300,螺山,1,1786204800000,5,4,25.9
1,0,26800,长江,20,1,60111300,螺山,1,1786208400000,5,6,25.9
1,0,26900,长江,20,1,60111300,螺山,1,1786212000000,5,4,25.89
1,0,27000,长江,20,1,60111300,螺山,1,1786215600000,5,6,25.89
1,0,26300,长江,20,1,60111300,螺山,1,1786219200000,5,5,25.9
1,0,26600,长江,20,1,60111300,螺山,1,1786222800000,5,6,25.9
1,0,26500,长江,20,1,60111300,螺山,1,1786226400000,5,6,25.9
1,0,26300,长江,20,1,60111300,螺山,1,1786230000000,5,4,25.89
1,0,26600,长江,20,1,60111300,螺山,1,1786240800000,5,4,25.86
