kind,rvnm,showdp,sort,sortall,sortw1,sortw2,sortw3,sortwdp,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,长江,0,4,0,0,0,0,0,1,60108100,陈家湾,0,1786201200000,6,4,35.210
1,长江,0,4,0,0,0,0,0,1,60108100,陈家湾,0,1786204800000,6,4,35.190
1,长江,0,4,0,0,0,0,0,1,60108100,陈家湾,0,1786208400000,6,6,35.190
1,长江,0,4,0,0,0,0,0,1,60108100,陈家湾,0,1786212000000,6,6,35.190
1,长江,0,4,0,0,0,0,0,1,60108100,陈家湾,0,1786215600000,6,5,35.200
1,长江,0,4,0,0,0,0,0,1,60108100,陈家湾,0,1786219200000,6,6,35.200
1,长江,0,4,0,0,0,0,0,1,60108100,陈家湾,0,1786222800000,6,4,35.190
1,长江,0,4,0,0,0,0,0,1,60108100,陈家湾,0,1786226400000,6,4,35.170
1,长江,0,4,0,0,0,0,0,1,60108100,陈家湾,0,1786230000000,6,4,35.140
1,长江,0,4,0,0,0,0,0,1,60108100,陈家湾,0,1786240800000,6,4,35.070
1,长江,0,4,0,0,0,0,0,1,60108100,陈家湾,0,1786244400000,6,4,35.040
1,长江,0,4,0,0,0,0,0,1,60108100,陈家湾,0,1786251600000,6,4,34.990
1,长江,0,4,0,0,0,0,0,1,60108100,陈家湾,0,1786255200000,6,4,34.950
