kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,长江,50,1,60112900,黄石港,1,1786201200000,5,6,17.36
1,0,0,长江,50,1,60112900,黄石港,1,1786204800000,5,4,17.34
1,0,0,长江,50,1,60112900,黄石港,1,1786208400000,5,5,17.36
1,0,0,长江,50,1,60112900,黄石港,1,1786212000000,5,4,17.35
1,0,0,长江,50,1,60112900,黄石港,1,1786215600000,5,6,17.35
1,0,0,长江,50,1,60112900,黄石港,1,1786219200000,5,6,17.35
1,0,0,长江,50,1,60112900,黄石港,1,1786222800000,5,4,17.34
1,0,0,长江,50,1,60112900,黄石港,1,1786226400000,5,5,17.35
1,0,0,长江,50,1,60112900,黄石港,1,1786230000000,5,4,17.34
1,0,0,长江,50,1,60112900,黄石港,1,1786240800000,5,4,17.34
1,0,0,长江,50,1,60112900,黄石港,1,1786244400000,5,6,17.34
1,0,0,长江,50,1,60112900,黄石港,1,1786251600000,5,4,17.34
1,0,0,长江,50,1,60112900,黄石港,1,1786255200000,5,4,17.32
1,0,0,长江,50,1,60112900,黄石港,1,1786258800000,5,5,17.33
