oq,q,stcd,stnm,tm,wptn,z,rvnm
0,0,60106000,万县,1786197600000,4,158.16,长江干流
0,0,60106000,万县,1786201200000,4,158.15,长江干流
0,0,60106000,万县,1786204800000,4,158.12,长江干流
0,0,60106000,万县,1786208400000,4,158.11,长江干流
0,0,60106000,万县,1786212000000,5,158.14,长江干流
0,0,60106000,万县,1786215600000,5,158.19,长江干流
0,0,60106000,万县,1786219200000,5,158.24,长江干流
0,0,60106000,万县,1786222800000,5,158.27,长江干流
0,0,60106000,万县,1786226400000,5,158.3,长江干流
0,0,60106000,万县,1786230000000,5,158.34,长江干流
0,0,60106000,万县,1786237200000,5,158.39,长江干流
0,0,60106000,万县,1786244400000,5,158.45,长江干流
