oq,q,stcd,stnm,tm,wptn,z,rvnm
,31100,60113500,八里江,1786201200000,5,13.673,长江干流
,31100,60113500,八里江,1786204800000,5,13.677,长江干流
,31100,60113500,八里江,1786208400000,4,13.667,长江干流
,31100,60113500,八里江,1786212000000,6,13.667,长江干流
,31100,60113500,八里江,1786215600000,5,13.674,长江干流
,31100,60113500,八里江,1786219200000,4,13.669,长江干流
,31100,60113500,八里江,1786222800000,4,13.661,长江干流
,31100,60113500,八里江,1786226400000,5,13.675,长江干流
,31000,60113500,八里江,1786230000000,4,13.652,长江干流
,30800,60113500,八里江,1786240800000,4,13.591,长江干流
,30700,60113500,八里江,1786244400000,4,13.565,长江干流
,30800,60113500,八里江,1786251600000,5,13.58,长江干流
,30800,60113500,八里江,1786255200000,5,13.582,长江干流
