oq,q,stcd,stnm,tm,wptn,z,rvnm
,,60113900,彭泽,1786201200000,5,13.028,长江干流
,,60113900,彭泽,1786204800000,6,13.028,长江干流
,,60113900,彭泽,1786208400000,4,13.023,长江干流
,,60113900,彭泽,1786212000000,5,13.028,长江干流
,,60113900,彭泽,1786215600000,5,13.03,长江干流
,,60113900,彭泽,1786219200000,6,13.03,长江干流
,,60113900,彭泽,1786222800000,4,13.022,长江干流
,,60113900,彭泽,1786226400000,5,13.03,长江干流
,,60113900,彭泽,1786230000000,4,13.007,长江干流
,,60113900,彭泽,1786240800000,4,12.959,长江干流
,,60113900,彭泽,1786244400000,4,12.94,长江干流
,,60113900,彭泽,1786251600000,5,12.957,长江干流
,,60113900,彭泽,1786255200000,4,12.947,长江干流
