oq,q,stcd,stnm,tm,wptn,z,rvnm
0,10900,60104800,朱沱,1786197600000,4,201.24,长江干流
0,10800,60104800,朱沱,1786201200000,4,201.19,长江干流
0,10700,60104800,朱沱,1786204800000,4,201.14,长江干流
0,10600,60104800,朱沱,1786208400000,4,201.08,长江干流
0,10500,60104800,朱沱,1786212000000,4,201.02,长江干流
0,10400,60104800,朱沱,1786215600000,4,200.97,长江干流
0,10200,60104800,朱沱,1786219200000,4,200.91,长江干流
0,10100,60104800,朱沱,1786222800000,4,200.86,长江干流
0,10100,60104800,朱沱,1786226400000,4,200.82,长江干流
0,9970,60104800,朱沱,1786230000000,4,200.78,长江干流
0,9910,60104800,朱沱,1786237200000,6,200.75,长江干流
0,9970,60104800,朱沱,1786244400000,5,200.78,长江干流
0,10000,60104800,朱沱,1786248000000,5,200.81,长江干流
0,10100,60104800,朱沱,1786251600000,5,200.84,长江干流
0,10100,60104800,朱沱,1786255200000,5,200.86,长江干流
