oq,q,stcd,stnm,tm,wptn,z,rvnm
0,0,60105700,清溪场,1786197600000,5,158.58,长江干流
0,0,60105700,清溪场,1786201200000,5,158.59,长江干流
0,0,60105700,清溪场,1786204800000,6,158.59,长江干流
0,0,60105700,清溪场,1786208400000,4,158.57,长江干流
0,0,60105700,清溪场,1786212000000,4,158.56,长江干流
0,0,60105700,清溪场,1786215600000,6,158.56,长江干流
0,0,60105700,清溪场,1786219200000,6,158.56,长江干流
0,0,60105700,清溪场,1786222800000,5,158.59,长江干流
0,0,60105700,清溪场,1786226400000,5,158.62,长江干流
0,0,60105700,清溪场,1786230000000,5,158.68,长江干流
0,0,60105700,清溪场,1786237200000,5,158.75,长江干流
0,0,60105700,清溪场,1786244400000,5,158.79,长江干流
0,0,60105700,清溪场,1786248000000,5,158.81,长江干流
0,0,60105700,清溪场,1786251600000,5,158.84,长江干流
0,0,60105700,清溪场,1786255200000,6,158.84,长江干流
0,0,60105700,清溪场,1786258800000,6,158.84,长江干流
