kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,陆水,670,1,69000002,南渠开度,0,1786201200000,5,6,10.25
1,0,0,陆水,670,1,69000002,南渠开度,0,1786204800000,5,6,10.25
1,0,0,陆水,670,1,69000002,南渠开度,0,1786208400000,5,6,10.25
1,0,0,陆水,670,1,69000002,南渠开度,0,1786212000000,5,6,10.25
1,0,0,陆水,670,1,69000002,南渠开度,0,1786215600000,5,6,10.25
1,0,0,陆水,670,1,69000002,南渠开度,0,1786219200000,5,6,10.25
1,0,0,陆水,670,1,69000002,南渠开度,0,1786222800000,5,6,10.25
1,0,0,陆水,670,1,69000002,南渠开度,0,1786226400000,5,6,10.25
1,0,0,陆水,670,1,69000002,南渠开度,0,1786230000000,5,6,10.25
1,0,0,陆水,670,1,69000002,南渠开度,0,1786240800000,5,6,10.25
1,0,0,陆水,670,1,69000002,南渠开度,0,1786244400000,5,6,10.25
1,0,0,陆水,670,1,69000002,南渠开度,0,1786251600000,5,6,10.25
