kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,20.2,陆水,420,1,61703000,崇阳,0,1786203000000,5,5,52.12
1,0,20.2,陆水,420,1,61703000,崇阳,0,1786204200000,5,6,52.12
1,0,19.9,陆水,420,1,61703000,崇阳,0,1786207200000,5,6,52.1
1,0,19.9,陆水,420,1,61703000,崇阳,0,1786209000000,5,6,52.1
1,0,19.9,陆水,420,1,61703000,崇阳,0,1786211100000,5,6,52.1
1,0,19.9,陆水,420,1,61703000,崇阳,0,1786214700000,5,6,52.1
1,0,19.8,陆水,420,1,61703000,崇阳,0,1786216800000,5,6,52.09
1,0,19.9,陆水,420,1,61703000,崇阳,0,1786218600000,5,6,52.1
1,0,19.8,陆水,420,1,61703000,崇阳,0,1786221300000,5,6,52.09
1,0,19.8,陆水,420,1,61703000,崇阳,0,1786223100000,5,6,52.09
1,0,19.7,陆水,420,1,61703000,崇阳,0,1786225500000,5,6,52.08
1,0,19.8,陆水,420,1,61703000,崇阳,0,1786227300000,5,6,52.09
