kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,2.68,陆水,430,1,61703060,毛家桥(二),0,1786203000000,5,6,55.06
1,0,2.68,陆水,430,1,61703060,毛家桥(二),0,1786204200000,5,6,55.06
1,0,2.68,陆水,430,1,61703060,毛家桥(二),0,1786207200000,5,6,55.06
1,0,2.68,陆水,430,1,61703060,毛家桥(二),0,1786209000000,5,6,55.06
1,0,2.68,陆水,430,1,61703060,毛家桥(二),0,1786211100000,5,6,55.06
1,0,2.68,陆水,430,1,61703060,毛家桥(二),0,1786214700000,5,6,55.06
1,0,2.68,陆水,430,1,61703060,毛家桥(二),0,1786216800000,5,6,55.06
1,0,2.68,陆水,430,1,61703060,毛家桥(二),0,1786218600000,5,6,55.06
1,0,2.56,陆水,430,1,61703060,毛家桥(二),0,1786221300000,5,6,55.05
1,0,2.56,陆水,430,1,61703060,毛家桥(二),0,1786223100000,5,6,55.05
1,0,2.56,陆水,430,1,61703060,毛家桥(二),0,1786225500000,5,6,55.05
