kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788206400000,5,6,27.33
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788220800000,5,5,27.36
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788238800000,5,5,27.4
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788256800000,5,5,27.44
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788274800000,5,5,27.49
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788285600000,5,5,27.52
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788296400000,5,5,27.54
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788303600000,5,6,27.54
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788310800000,5,5,27.55
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788328800000,5,5,27.56
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788346800000,5,6,27.58
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788361200000,5,6,27.57
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788372000000,5,4,27.56
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788382800000,5,4,27.54
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788390000000,5,6,27.54
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788397200000,5,6,27.53
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788415200000,5,4,27.51
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788433200000,5,4,27.47
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788447600000,5,6,27.45
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788458400000,5,6,27.44
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788469200000,5,6,27.42
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788476400000,5,4,27.41
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788483600000,5,4,27.41
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788501600000,5,6,27.43
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788519600000,5,5,27.46
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788534000000,5,5,27.48
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788544800000,5,6,27.49
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788552000000,5,6,27.5
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788559200000,5,6,27.51
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788566400000,5,4,27.51
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788584400000,5,5,27.55
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788598800000,5,5,27.58
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788609600000,5,6,27.59
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788624000000,5,5,27.61
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788631200000,5,5,27.62
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788638400000,5,5,27.63
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788645600000,5,5,27.64
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788652800000,5,6,27.64
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788667200000,5,5,27.66
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788681600000,5,6,27.66
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788696000000,5,5,27.67
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788710400000,5,6,27.65
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788717600000,5,4,27.63
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788724800000,5,5,27.64
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788732000000,5,6,27.63
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788739200000,5,6,27.61
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788760800000,5,4,27.55
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788782400000,5,4,27.47
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788800400000,5,4,27.4
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788814800000,5,4,27.34
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788822000000,5,4,27.31
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788829200000,5,4,27.27
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788847200000,5,4,27.18
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788865200000,5,4,27.09
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788879600000,5,4,27.02
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788944400000,5,4,26.71
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788958800000,5,4,26.65
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788991200000,5,4,26.48
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1788998400000,5,4,26.45
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1789016400000,5,4,26.37
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1789030800000,5,4,26.31
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1789048800000,5,4,26.23
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1789081200000,5,4,26.07
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1789088400000,5,4,26.02
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1789102800000,5,4,25.94
1,0,0,东洞庭湖,390,1,61511000,鹿角,0,1789124400000,5,4,25.81
