tm,wptn,z,stcd,stnm,www,rvnm
1788206400000,4,55.62,61803500,宜城,1,汉江
1788220800000,4,55.59,61803500,宜城,1,汉江
1788238800000,5,55.62,61803500,宜城,1,汉江
1788256800000,6,55.66,61803500,宜城,1,汉江
1788274800000,6,55.66,61803500,宜城,1,汉江
1788285600000,6,55.67,61803500,宜城,1,汉江
1788296400000,5,55.68,61803500,宜城,1,汉江
1788303600000,6,55.68,61803500,宜城,1,汉江
1788310800000,6,55.69,61803500,宜城,1,汉江
1788328800000,4,55.69,61803500,宜城,1,汉江
1788346800000,5,55.67,61803500,宜城,1,汉江
1788361200000,5,55.69,61803500,宜城,1,汉江
1788372000000,6,55.69,61803500,宜城,1,汉江
1788382800000,5,55.7,61803500,宜城,1,汉江
1788390000000,5,55.74,61803500,宜城,1,汉江
1788397200000,5,55.75,61803500,宜城,1,汉江
1788415200000,4,55.69,61803500,宜城,1,汉江
1788433200000,6,55.69,61803500,宜城,1,汉江
1788447600000,6,55.69,61803500,宜城,1,汉江
1788458400000,6,55.69,61803500,宜城,1,汉江
1788469200000,4,55.68,61803500,宜城,1,汉江
1788476400000,4,55.67,61803500,宜城,1,汉江
1788483600000,5,55.68,61803500,宜城,1,汉江
1788501600000,4,55.69,61803500,宜城,1,汉江
1788519600000,6,55.7,61803500,宜城,1,汉江
1788534000000,6,55.7,61803500,宜城,1,汉江
1788544800000,4,55.69,61803500,宜城,1,汉江
1788555600000,6,55.69,61803500,宜城,1,汉江
1788559200000,6,55.69,61803500,宜城,1,汉江
1788570000000,4,55.68,61803500,宜城,1,汉江
1788584400000,6,55.67,61803500,宜城,1,汉江
1788598800000,5,55.67,61803500,宜城,1,汉江
1788609600000,6,55.67,61803500,宜城,1,汉江
1788624000000,6,55.67,61803500,宜城,1,汉江
1788631200000,6,55.67,61803500,宜城,1,汉江
1788638400000,6,55.67,61803500,宜城,1,汉江
1788645600000,6,55.68,61803500,宜城,1,汉江
1788652800000,4,55.69,61803500,宜城,1,汉江
1788667200000,6,55.69,61803500,宜城,1,汉江
1788681600000,6,55.7,61803500,宜城,1,汉江
1788696000000,6,55.7,61803500,宜城,1,汉江
1788710400000,6,55.7,61803500,宜城,1,汉江
1788717600000,6,55.7,61803500,宜城,1,汉江
1788724800000,6,55.7,61803500,宜城,1,汉江
1788732000000,6,55.7,61803500,宜城,1,汉江
1788739200000,6,55.7,61803500,宜城,1,汉江
1788760800000,6,55.69,61803500,宜城,1,汉江
1788782400000,6,55.69,61803500,宜城,1,汉江
1788800400000,6,55.67,61803500,宜城,1,汉江
1788814800000,6,55.67,61803500,宜城,1,汉江
1788822000000,6,55.67,61803500,宜城,1,汉江
1788829200000,6,55.67,61803500,宜城,1,汉江
1788847200000,5,55.69,61803500,宜城,1,汉江
1788865200000,5,55.73,61803500,宜城,1,汉江
1788879600000,5,55.77,61803500,宜城,1,汉江
1788944400000,4,55.79,61803500,宜城,1,汉江
1788958800000,6,55.78,61803500,宜城,1,汉江
1788991200000,6,55.78,61803500,宜城,1,汉江
1788998400000,4,55.77,61803500,宜城,1,汉江
1789016400000,5,55.85,61803500,宜城,1,汉江
1789030800000,5,55.86,61803500,宜城,1,汉江
1789048800000,5,55.87,61803500,宜城,1,汉江
1789081200000,4,55.86,61803500,宜城,1,汉江
1789088400000,4,55.85,61803500,宜城,1,汉江
1789102800000,6,55.84,61803500,宜城,1,汉江
1789124400000,6,55.84,61803500,宜城,1,汉江
1789167600000,4,55.82,61803500,宜城,1,汉江
1789174800000,6,55.82,61803500,宜城,1,汉江
1789192800000,5,55.83,61803500,宜城,1,汉江
1789210800000,6,55.84,61803500,宜城,1,汉江
1789221600000,6,55.84,61803500,宜城,1,汉江
1789254000000,6,55.86,61803500,宜城,1,汉江
1789261200000,4,55.86,61803500,宜城,1,汉江
1789279200000,6,55.84,61803500,宜城,1,汉江
