tm,wptn,z,stcd,stnm,www,rvnm
1788206400000,4,88.94,61802600,王家营(三),2,汉江
1788220800000,4,88.72,61802600,王家营(三),2,汉江
1788238800000,6,88.7,61802600,王家营(三),2,汉江
1788256800000,6,88.7,61802600,王家营(三),2,汉江
1788274800000,4,89.03,61802600,王家营(三),2,汉江
1788285600000,4,88.99,61802600,王家营(三),2,汉江
1788296400000,4,88.83,61802600,王家营(三),2,汉江
1788303600000,4,88.73,61802600,王家营(三),2,汉江
1788310800000,4,88.7,61802600,王家营(三),2,汉江
1788328800000,6,88.7,61802600,王家营(三),2,汉江
1788346800000,5,88.95,61802600,王家营(三),2,汉江
1788361200000,5,89.29,61802600,王家营(三),2,汉江
1788372000000,4,88.92,61802600,王家营(三),2,汉江
1788382800000,4,88.76,61802600,王家营(三),2,汉江
1788390000000,4,88.71,61802600,王家营(三),2,汉江
1788397200000,6,88.7,61802600,王家营(三),2,汉江
1788415200000,6,88.7,61802600,王家营(三),2,汉江
1788433200000,5,89.1,61802600,王家营(三),2,汉江
1788447600000,5,89.29,61802600,王家营(三),2,汉江
1788458400000,4,88.95,61802600,王家营(三),2,汉江
1788469200000,4,88.79,61802600,王家营(三),2,汉江
1788476400000,4,88.71,61802600,王家营(三),2,汉江
1788483600000,4,88.7,61802600,王家营(三),2,汉江
1788501600000,6,88.7,61802600,王家营(三),2,汉江
1788519600000,5,89.04,61802600,王家营(三),2,汉江
1788534000000,4,89.03,61802600,王家营(三),2,汉江
1788544800000,4,88.95,61802600,王家营(三),2,汉江
1788555600000,4,88.8,61802600,王家营(三),2,汉江
1788559200000,4,88.75,61802600,王家营(三),2,汉江
1788570000000,4,88.7,61802600,王家营(三),2,汉江
1788584400000,6,88.7,61802600,王家营(三),2,汉江
1788598800000,6,88.7,61802600,王家营(三),2,汉江
1788609600000,5,89.24,61802600,王家营(三),2,汉江
1788624000000,4,88.92,61802600,王家营(三),2,汉江
1788631200000,5,89.19,61802600,王家营(三),2,汉江
1788638400000,4,88.93,61802600,王家营(三),2,汉江
1788645600000,4,88.82,61802600,王家营(三),2,汉江
1788652800000,4,88.74,61802600,王家营(三),2,汉江
1788667200000,5,88.7,61802600,王家营(三),2,汉江
1788681600000,6,88.7,61802600,王家营(三),2,汉江
1788696000000,5,89.24,61802600,王家营(三),2,汉江
1788710400000,4,88.86,61802600,王家营(三),2,汉江
1788717600000,5,89.11,61802600,王家营(三),2,汉江
1788724800000,4,88.89,61802600,王家营(三),2,汉江
1788732000000,4,88.77,61802600,王家营(三),2,汉江
1788739200000,4,88.71,61802600,王家营(三),2,汉江
1788760800000,6,88.7,61802600,王家营(三),2,汉江
1788782400000,4,89.15,61802600,王家营(三),2,汉江
1788800400000,5,88.9,61802600,王家营(三),2,汉江
1788814800000,4,88.87,61802600,王家营(三),2,汉江
1788822000000,4,88.77,61802600,王家营(三),2,汉江
1788829200000,4,88.71,61802600,王家营(三),2,汉江
1788847200000,6,88.7,61802600,王家营(三),2,汉江
1788865200000,5,89.12,61802600,王家营(三),2,汉江
1788879600000,4,88.8,61802600,王家营(三),2,汉江
1788944400000,5,88.75,61802600,王家营(三),2,汉江
1788958800000,4,88.89,61802600,王家营(三),2,汉江
1788991200000,4,88.73,61802600,王家营(三),2,汉江
1788998400000,4,88.7,61802600,王家营(三),2,汉江
1789016400000,6,88.7,61802600,王家营(三),2,汉江
1789030800000,6,88.7,61802600,王家营(三),2,汉江
1789048800000,5,89.02,61802600,王家营(三),2,汉江
1789081200000,4,88.7,61802600,王家营(三),2,汉江
1789088400000,6,88.7,61802600,王家营(三),2,汉江
1789102800000,6,88.7,61802600,王家营(三),2,汉江
1789124400000,5,89.12,61802600,王家营(三),2,汉江
1789167600000,4,88.78,61802600,王家营(三),2,汉江
1789174800000,4,88.72,61802600,王家营(三),2,汉江
1789192800000,6,88.7,61802600,王家营(三),2,汉江
1789210800000,5,89.14,61802600,王家营(三),2,汉江
1789221600000,4,88.95,61802600,王家营(三),2,汉江
1789254000000,4,88.76,61802600,王家营(三),2,汉江
1789261200000,4,88.71,61802600,王家营(三),2,汉江
1789279200000,6,88.7,61802600,王家营(三),2,汉江
1789300800000,5,89.25,61802600,王家营(三),2,汉江
1789340400000,6,88.7,61802600,王家营(三),2,汉江
1789347600000,6,88.7,61802600,王家营(三),2,汉江
1789369200000,6,88.7,61802600,王家营(三),2,汉江
1789394400000,4,88.96,61802600,王家营(三),2,汉江
1789423200000,6,88.71,61802600,王家营(三),2,汉江
1789430400000,4,88.95,61802600,王家营(三),2,汉江
1789452000000,4,88.71,61802600,王家营(三),2,汉江
1789470000000,4,88.99,61802600,王家营(三),2,汉江
1789509600000,4,88.87,61802600,王家营(三),2,汉江
1789516800000,4,88.8,61802600,王家营(三),2,汉江
1789534800000,4,88.71,61802600,王家营(三),2,汉江
1789549200000,5,89.07,61802600,王家营(三),2,汉江
1789567200000,4,88.86,61802600,王家营(三),2,汉江
1789596000000,6,88.7,61802600,王家营(三),2,汉江
1789603200000,6,88.7,61802600,王家营(三),2,汉江
1789621200000,6,88.7,61802600,王家营(三),2,汉江
1789639200000,5,89.23,61802600,王家营(三),2,汉江
1789682400000,4,88.73,61802600,王家营(三),2,汉江
1789689600000,5,89.04,61802600,王家营(三),2,汉江
1789707600000,4,88.78,61802600,王家营(三),2,汉江
1789722000000,5,89.0,61802600,王家营(三),2,汉江
1789736400000,4,88.83,61802600,王家营(三),2,汉江
1789768800000,4,88.71,61802600,王家营(三),2,汉江
1789776000000,6,88.71,61802600,王家营(三),2,汉江
1789794000000,6,88.71,61802600,王家营(三),2,汉江
1789808400000,6,88.7,61802600,王家营(三),2,汉江
1789822800000,4,88.86,61802600,王家营(三),2,汉江
