q,tm,wptn,z,stcd,stnm,www,rvnm
19.3,1788206400000,4,193.84,61813200,长沙坝(二),1,汉江
11.9,1788220800000,6,194.12,61813200,长沙坝(二),1,汉江
7.82,1788238800000,6,194.12,61813200,长沙坝(二),1,汉江
116.0,1788256800000,5,194.41,61813200,长沙坝(二),1,汉江
99.6,1788274800000,5,194.38,61813200,长沙坝(二),1,汉江
82.1,1788285600000,5,194.4,61813200,长沙坝(二),1,汉江
9.57,1788296400000,4,193.71,61813200,长沙坝(二),1,汉江
19.2,1788303600000,5,194.33,61813200,长沙坝(二),1,汉江
10.9,1788310800000,4,194.07,61813200,长沙坝(二),1,汉江
5.14,1788328800000,4,194.05,61813200,长沙坝(二),1,汉江
53.5,1788346800000,4,194.52,61813200,长沙坝(二),1,汉江
80.3,1788361200000,5,194.5,61813200,长沙坝(二),1,汉江
94.6,1788372000000,4,194.2,61813200,长沙坝(二),1,汉江
8.05,1788382800000,5,193.99,61813200,长沙坝(二),1,汉江
4.1,1788390000000,6,193.99,61813200,长沙坝(二),1,汉江
3.9,1788397200000,6,193.99,61813200,长沙坝(二),1,汉江
4.24,1788415200000,6,193.99,61813200,长沙坝(二),1,汉江
92.5,1788433200000,5,194.55,61813200,长沙坝(二),1,汉江
93.6,1788447600000,5,194.6,61813200,长沙坝(二),1,汉江
24.1,1788458400000,4,193.54,61813200,长沙坝(二),1,汉江
7.06,1788469200000,4,193.31,61813200,长沙坝(二),1,汉江
37.8,1788476400000,5,194.27,61813200,长沙坝(二),1,汉江
6.01,1788483600000,5,194.1,61813200,长沙坝(二),1,汉江
4.38,1788501600000,6,194.11,61813200,长沙坝(二),1,汉江
95.1,1788519600000,5,194.39,61813200,长沙坝(二),1,汉江
98.8,1788534000000,5,194.38,61813200,长沙坝(二),1,汉江
65.2,1788544800000,5,194.04,61813200,长沙坝(二),1,汉江
10.1,1788555600000,5,194.22,61813200,长沙坝(二),1,汉江
112.0,1788559200000,5,194.48,61813200,长沙坝(二),1,汉江
14.5,1788566400000,4,194.12,61813200,长沙坝(二),1,汉江
10.5,1788584400000,5,194.09,61813200,长沙坝(二),1,汉江
66.0,1788598800000,5,194.25,61813200,长沙坝(二),1,汉江
93.7,1788609600000,5,194.42,61813200,长沙坝(二),1,汉江
98.0,1788624000000,5,194.36,61813200,长沙坝(二),1,汉江
95.4,1788631200000,4,194.24,61813200,长沙坝(二),1,汉江
58.6,1788638400000,4,194.12,61813200,长沙坝(二),1,汉江
99.2,1788645600000,5,194.18,61813200,长沙坝(二),1,汉江
15.3,1788652800000,4,194.0,61813200,长沙坝(二),1,汉江
6.17,1788667200000,6,194.03,61813200,长沙坝(二),1,汉江
4.35,1788681600000,6,194.03,61813200,长沙坝(二),1,汉江
98.4,1788696000000,5,194.52,61813200,长沙坝(二),1,汉江
102.0,1788710400000,5,194.33,61813200,长沙坝(二),1,汉江
68.7,1788717600000,4,194.3,61813200,长沙坝(二),1,汉江
52.8,1788724800000,5,194.51,61813200,长沙坝(二),1,汉江
92.2,1788732000000,4,194.47,61813200,长沙坝(二),1,汉江
12.3,1788739200000,4,194.06,61813200,长沙坝(二),1,汉江
4.87,1788760800000,6,194.02,61813200,长沙坝(二),1,汉江
59.8,1788782400000,5,194.46,61813200,长沙坝(二),1,汉江
79.1,1788800400000,5,194.44,61813200,长沙坝(二),1,汉江
89.5,1788814800000,5,194.51,61813200,长沙坝(二),1,汉江
100.0,1788822000000,4,194.42,61813200,长沙坝(二),1,汉江
6.7,1788829200000,4,194.01,61813200,长沙坝(二),1,汉江
2.59,1788847200000,6,194.03,61813200,长沙坝(二),1,汉江
37.7,1788865200000,4,194.41,61813200,长沙坝(二),1,汉江
107.0,1788879600000,5,194.51,61813200,长沙坝(二),1,汉江
112.0,1788944400000,5,194.43,61813200,长沙坝(二),1,汉江
98.0,1788958800000,5,194.56,61813200,长沙坝(二),1,汉江
121.0,1788991200000,5,194.47,61813200,长沙坝(二),1,汉江
40.3,1788998400000,4,194.34,61813200,长沙坝(二),1,汉江
29.7,1789016400000,5,193.75,61813200,长沙坝(二),1,汉江
8.49,1789030800000,4,193.65,61813200,长沙坝(二),1,汉江
156.0,1789048800000,5,193.85,61813200,长沙坝(二),1,汉江
96.5,1789081200000,5,194.45,61813200,长沙坝(二),1,汉江
95.9,1789088400000,6,194.49,61813200,长沙坝(二),1,汉江
6.67,1789102800000,5,193.6,61813200,长沙坝(二),1,汉江
122.0,1789124400000,5,194.2,61813200,长沙坝(二),1,汉江
32.5,1789167600000,5,193.86,61813200,长沙坝(二),1,汉江
6.51,1789174800000,5,193.87,61813200,长沙坝(二),1,汉江
2.3,1789192800000,6,193.9,61813200,长沙坝(二),1,汉江
74.5,1789210800000,4,194.26,61813200,长沙坝(二),1,汉江
